int logctl_get(): open '/dev/hwlog_switch' fail -1, 13. Permission denied
Note: log switch off, only log_main and log_events will have logs!
--------- beginning of system
12-20 17:03:26.007  1045  1389 D NetdConnector: RCV <- {601 limit alert globalAlert lo}
12-20 17:03:26.007  1045  1071 D NetdConnector: RCV unsolicited event from native daemon, event = 601 limit alert globalAlert lo
12-20 17:03:26.012  1045  1390 D NetdConnector: SND -> {881 bandwidth gettetherstats}
12-20 17:03:26.013  1045  1389 D NetdConnector: RCV <- {200 881 Tethering stats list completed}
12-20 17:03:26.014  1045  1389 D NetdConnector: RCV <- {200 881 Tethering stats list completed}
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory: read stats:
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory: NetworkStats: elapsedRealtime=24688571

12-20 17:06:37.110  4451  4494 I LocalServer: Connection: Keep-Alive

12-20 17:06:37.110  4451  4494 I LocalServer: Content-Type: text/html

12-20 17:06:37.110  4451  4494 I LocalServer: 
12-20 17:06:37.110  4451  4494 I LocalServer: [2017-12-20 17:06:37.110184 4451 4494] on_response, content_type=text/html, size=15638
12-20 17:06:37.110  4451  4494 I LocalServer: [2017-12-20 17:06:37.110227 4451 4494] no video content-type: text/html
12-20 17:06:37.110  4451  4494 I LocalServer: [2017-12-20 17:06:37.110280 4451 4494] RESP 
12-20 17:06:37.110  4451  4494 I LocalServer: HTTP/1.1 206 Partial Content

12-20 17:06:37.110  4451  4494 I LocalServer: Server: kevin's server

12-20 17:06:37.110  4451  4494 I LocalServer: Content-Range: bytes 0-15637/15638

12-20 17:06:37.110  4451  4494 I LocalServer: Content-Length: 15638

12-20 17:06:37.110  4451  4494 I LocalServer: Content-Type: text/html

12-20 17:06:37.110  4451  4494 I LocalServer: Accept-Ranges: bytes

12-20 17:06:37.110  4451  4494 I LocalServer: Cache-Control: no-cache

12-20 17:06:37.110  4451  4494 I LocalServer: Connection: close

12-20 17:06:37.110  4451  4494 I LocalServer: 

12-20 17:06:37.110  4451  4494 I LocalServer: 
12-20 17:06:37.110  4451  4494 I LocalServer: [2017-12-20 17:06:37.110570 4451 4494] on_server_data: offset=0, len=1360
12-20 17:06:37.110  4451  4494 I LocalServer: [2017-12-20 17:06:37.110639 4451 4494] box type=CTYP
12-20 17:06:37.112  4451  4494 I LocalServer: [2017-12-20 17:06:37.111927 4451 4494] on_server_data: offset=1360, len=1004
12-20 17:06:37.112  4451  4494 I LocalServer: [2017-12-20 17:06:37.112312 4451 4494] on_server_data: offset=2364, len=4080
12-20 17:06:37.113  4451  4494 I LocalServer: [2017-12-20 17:06:37.113729 4451 4494] on_server_data: offset=6444, len=6800
12-20 17:06:37.114  4451  4494 I LocalServer: [2017-12-20 17:06:37.114148 4451 4494] on_server_data: offset=13244, len=2394
12-20 17:06:37.114  4451  4494 I LocalServer: [2017-12-20 17:06:37.114257 4451 4494] serve done, _serving_end=15638, _serving_pos=15638, filesize=15638
12-20 17:06:37.114  4451  4494 I LocalServer: [2017-12-20 17:06:37.114451 4451 4494] http consumer detach, u=http://www.baidu.com/aaaaa, start=0, end=15638, pos=15638
12-20 17:06:37.114  4451  4494 I LocalServer: [2017-12-20 17:06:37.114734 4451 4494] on_response, content_type=(null), size=15638
12-20 17:06:37.114  4451  4494 I LocalServer: [2017-12-20 17:06:37.114787 4451 4494] http download detach, code=200, u=http://www.baidu.com/aaaaa, start=0, end=0
12-20 17:06:37.114  4451  4494 I LocalServer: [2017-12-20 17:06:37.114831 4451 4494] CDN STATS: server=14.215.177.39:80(0), SCDN=non, from_type=0, cic=2, rsp_time=2147483647, code=200, atv_close=0, time(dns/con/resp/wait/total)=0/41/39/1/172(ms), speed(fst100K,avg)=0/90(KB/s), hops=1, ver=1.0.3.8, rcvb=15638, range=0-0, can_https=0, vr=0, ssl_load=1, fs=0
12-20 17:06:37.125  4451  4556 V GL2VideoView.java: [onDrawFrame:263] onDrawFrame=-702808064
12-20 17:06:37.148  4451  4556 V GL2VideoView.java: [onDrawFrame:263] onDrawFrame=-702808064
12-20 17:06:37.171  4451  4556 V GL2VideoView.java: [onDrawFrame:263] onDrawFrame=-702808064
12-20 17:06:37.173  4451  4494 I LocalServer: [2017-12-20 17:06:37.173243 4451 4494] REQ:
12-20 17:06:37.173  4451  4494 I LocalServer: GET /play?id=a&u=http://www.baidu.com/aaaaa HTTP/1.1

12-20 17:06:37.173  4451  4494 I LocalServer: User-Agent: Lavf/57.25.100

12-20 17:06:37.173  4451  4494 I LocalServer: Accept: */*

12-20 17:06:37.173  4451  4494 I LocalServer: Range: bytes=0-

12-20 17:06:37.173  4451  4494 I LocalServer: Connection: close

12-20 17:06:37.173  4451  4494 I LocalServer: Host: 127.0.0.1:8123

12-20 17:06:37.173  4451  4494 I LocalServer: Icy-MetaData: 1

12-20 17:06:37.173  4451  4494 I LocalServer: 
12-20 17:06:37.173  4451  4494 I LocalServer: [2017-12-20 17:06:37.173381 4451 4494] action=/play, u=http://www.baidu.com/aaaaa, id=a
12-20 17:06:37.173  4451  4494 I LocalServer: [2017-12-20 17:06:37.173457 4451 4494] HTTPS URL: https://www.baidu.com/aaaaa
12-20 17:06:37.173  4451  4494 I LocalServer: [2017-12-20 17:06:37.173491 4451 4494] no cache_file object
12-20 17:06:37.173  4451  4494 I LocalServer: [2017-12-20 17:06:37.173519 4451 4494] on play url : http://www.baidu.com/aaaaa, range=0-15638, avail=0
12-20 17:06:37.173  4451  4494 I LocalServer: [2017-12-20 17:06:37.173553 4451 4494] MISS, non local cache available
12-20 17:06:37.173  4451  4494 I LocalServer: [2017-12-20 17:06:37.173591 4451 4494] do_accelerate, u=http://www.baidu.com/aaaaa, start=0, end=0
12-20 17:06:37.173  4451  4494 I LocalServer: [2017-12-20 17:06:37.173659 4451 4494] DNS www.baidu.com:80 HIT from_type=0, cic=2
12-20 17:06:37.175   531  4589 D DnsProxyListener: GetAddrInfoHandler addr: qos.live.360.cn {114, 917618, 10435} 106.120.160.116
12-20 17:06:37.193  4451  4556 V GL2VideoView.java: [onDrawFrame:263] onDrawFrame=-702808064
12-20 17:06:37.216  4451  4494 I LocalServer: [2017-12-20 17:06:37.216373 4451 4494] REQ(14.215.177.39:80):
12-20 17:06:37.216  4451  4494 I LocalServer: GET /aaaaa HTTP/1.1

12-20 17:06:37.216  4451  4494 I LocalServer: User-Agent: Kevin's Http Client/1.1.0

12-20 17:06:37.216  4451  4494 I LocalServer: Host: www.baidu.com

12-20 17:06:37.216  4451  4494 I LocalServer: Accept: */*

12-20 17:06:37.216  4451  4494 I LocalServer: 

12-20 17:06:37.216  4451  4494 I LocalServer: 
12-20 17:06:37.217  4451  4556 V GL2VideoView.java: [onDrawFrame:263] onDrawFrame=-702808064
12-20 17:06:37.239  4451  4556 V GL2VideoView.java: [onDrawFrame:263] onDrawFrame=-702808064
12-20 17:06:37.259  4451  4494 I LocalServer: [2017-12-20 17:06:37.259123 4451 4494] RESP(14.215.177.39:80): http://www.baidu.com/aaaaa
12-20 17:06:37.259  4451  4494 I LocalServer: HTTP/1.1 302 Found

12-20 17:06:37.259  4451  4494 I LocalServer: Date: Wed, 20 Dec 2017 09:06:38 GMT

12-20 17:06:37.259  4451  4494 I LocalServer: Server: Apache

12-20 17:06:37.259  4451  4494 I LocalServer: Location: http://www.baidu.com/search/error.html

12-20 17:06:37.259  4451  4494 I LocalServer: Cache-Control: max-age=86400

12-20 17:06:37.259  4451  4494 I LocalServer: Expires: Thu, 21 Dec 2017 09:06:38 GMT

12-20 17:06:37.259  4451  4494 I LocalServer: Content-Length: 222

12-20 17:06:37.259  4451  4494 I LocalServer: Connection: Keep-Alive

12-20 17:06:37.259  4451  4494 I LocalServer: Content-Type: text/html; charset=iso-8859-1

12-20 17:06:37.259  4451  4494 I LocalServer: 
12-20 17:06:37.259  4451  4494 I LocalServer: [2017-12-20 17:06:37.259316 4451 4494] WARN: jni/../xserver/http_download.cpp:177 redirect !!!, do report
12-20 17:06:37.259  4451  4494 I LocalServer: [2017-12-20 17:06:37.259454 4451 4494] DNS qos.live.360.cn:80 HIT from_type=0, cic=1
12-20 17:06:37.260  4451  4494 I LocalServer: [2017-12-20 17:06:37.260652 4451 4494] redirected to http://www.baidu.com/search/error.html
12-20 17:06:37.260  4451  4494 I LocalServer: [2017-12-20 17:06:37.260838 4451 4494] DNS www.baidu.com:80 HIT from_type=0, cic=2
12-20 17:06:37.263  4451  4556 V GL2VideoView.java: [onDrawFrame:263] onDrawFrame=-702808064
12-20 17:06:37.266  4451  4494 I LocalServer: [2017-12-20 17:06:37.265982 4451 4494] REQ(106.120.160.116:80):
12-20 17:06:37.266  4451  4494 I LocalServer: GET /vc.gif?app=demo&bt=1513760786918&ty=ls302&mid=1a0f39241d9564ffa92cf1213183c90b&dcc=0&dip=14.215.177.39:80&rs=0&re=0&err=302&dt=0&ct=42&rt=42&wt=0&rsp=2147483647&u=http://www.baidu.com/aaaaa&pro=non&sdkver=1.0.3.8&hops=0&ru=http://www.baidu.com/search/error.html HTTP/1.1

12-20 17:06:37.266  4451  4494 I LocalServer: User-Agent: Kevin's Http Client/1.1.0

12-20 17:06:37.266  4451  4494 I LocalServer: Host: qos.live.360.cn

12-20 17:06:37.266  4451  4494 I LocalServer: Accept: */*

12-20 17:06:37.266  4451  4494 I LocalServer: 

12-20 17:06:37.266  4451  4494 I LocalServer: 
12-20 17:06:37.270   531  1037 W SocketListener: sending broadcast to Pid = 1045, Uid = 1000 
12-20 17:06:37.271  1045  1389 D NetdConnector: RCV <- {601 limit alert globalAlert wlan0}
12-20 17:06:37.272  1045  1389 D NetdConnector: RCV <- {601 limit alert globalAlert wlan0}
12-20 17:06:37.272  4451  4494 I LocalServer: [2017-12-20 17:06:37.270848 4451 4494] RESP(106.120.160.116:80): http://qos.live.360.cn/vc.gif?app=demo&bt=1513760786918&ty=ls302&mid=1a0f39241d9564ffa92cf1213183c90b&dcc=0&dip=14.215.177.39:80&rs=0&re=0&err=302&dt=0&ct=42&rt=42&wt=0&rsp=2147483647&u=http://www.baidu.com/aaaaa&pro=non&sdkver=1.0.3.8&hops=0&ru=http://www.baidu.com/search/error.html
12-20 17:06:37.272  4451  4494 I LocalServer: HTTP/1.1 200 OK

12-20 17:06:37.272  4451  4494 I LocalServer: Server: nginx/1.6.3

12-20 17:06:37.272  4451  4494 I LocalServer: Date: Wed, 20 Dec 2017 09:06:38 GMT

12-20 17:06:37.272  4451  4494 I LocalServer: Content-Type: image/gif

12-20 17:06:37.272  4451  4494 I LocalServer: Content-Length: 43

12-20 17:06:37.272  4451  4494 I LocalServer: Last-Modified: Mon, 28 Sep 1970 06:00:00 GMT

12-20 17:06:37.272  4451  4494 I LocalServer: Connection: close

12-20 17:06:37.272  4451  4494 I LocalServer: Access-Control-Allow-Credentials: true

12-20 17:06:37.272  4451  4494 I LocalServer: 
12-20 17:06:37.272  1045  1071 D NetdConnector: RCV unsolicited event from native daemon, event = 601 limit alert globalAlert wlan0
12-20 17:06:37.278  1045  1390 D NetdConnector: SND -> {937 bandwidth gettetherstats}
12-20 17:06:37.278   531  1044 V CommandListener: bwctrlcmd: argc=2 bandwidth gettetherstats ...
12-20 17:06:37.279  1045  1389 D NetdConnector: RCV <- {200 937 Tethering stats list completed}
12-20 17:06:37.280  1045  1389 D NetdConnector: RCV <- {200 937 Tethering stats list completed}
12-20 17:06:37.282  4451  4558 D LiveCloudPlayer.java: [isPlaying:738] isPlaying
12-20 17:06:37.283  4451  4558 D LiveCloudPlayer.java: [setCurState:1828] CurState=PREPARING
12-20 17:06:37.283  4418  4427 I art     : current process_level is : -17
12-20 17:06:37.287  4451  4556 V GL2VideoView.java: [onDrawFrame:263] onDrawFrame=-702808064
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory: read stats:
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory: NetworkStats: elapsedRealtime=24879839
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [0] iface=wlan0 uid=10248 set=ALL tag=0x0 rxBytes=281 rxPackets=0 txBytes=860 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=ackground_clean
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [1] iface=wlan0 uid=10318 set=ALL tag=0x0 rxBytes=914 rxPackets=0 txBytes=1437 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=bilesafe:engine
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [2] iface=wlan0 uid=2000 set=ALL tag=0x0 rxBytes=8299 rxPackets=0 txBytes=4243 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=uiautomator
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [3] iface=wlan0 uid=2000 set=ALL tag=0x0 rxBytes=4186 rxPackets=0 txBytes=8299 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=adbd
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [4] iface=wlan0 uid=10008 set=ALL tag=0x0 rxBytes=6192 rxPackets=0 txBytes=1082 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=browser:service
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [5] iface=wlan0 uid=10159 set=ALL tag=0x0 rxBytes=2781 rxPackets=0 txBytes=3995 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=alk:pushservice
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [6] iface=wlan0 uid=10159 set=ALL tag=0x0 rxBytes=30160 rxPackets=0 txBytes=45694 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=juphoon.justalk
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [7] iface=wlan0 uid=10318 set=ALL tag=0x0 rxBytes=2832 rxPackets=0 txBytes=8996 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=bilesafe:report
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [8] iface=wlan0 uid=10318 set=ALL tag=0x0 rxBytes=60903 rxPackets=0 txBytes=3120 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=ilesafe:loader1
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [9] iface=wlan0 uid=10053 set=ALL tag=0x0 rxBytes=2287 rxPackets=0 txBytes=36263 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=ouc:hwbdservice
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [10] iface=wlan0 uid=10318 set=ALL tag=0x0 rxBytes=6158 rxPackets=0 txBytes=37607 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=ilesafe:loader0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [11] iface=wlan0 uid=10127 set=ALL tag=0x0 rxBytes=885 rxPackets=0 txBytes=714 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=t.qqsports:push
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [12] iface=wlan0 uid=10318 set=ALL tag=0x0 rxBytes=480647 rxPackets=0 txBytes=3579 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=bilesafe:update
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [13] iface=wlan0 uid=10318 set=ALL tag=0x0 rxBytes=1384 rxPackets=0 txBytes=709 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=lesafe:WifiExam
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [14] iface=wlan0 uid=10318 set=ALL tag=0x0 rxBytes=17052 rxPackets=0 txBytes=6697 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=ilesafe:permmgr
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [15] iface=wlan0 uid=10127 set=ALL tag=0x0 rxBytes=1302942 rxPackets=0 txBytes=291491 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=encent.qqsports
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [16] iface=wlan0 uid=10122 set=ALL tag=0x0 rxBytes=360408919 rxPackets=0 txBytes=195295495 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=calserverplayer
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [17] iface=wlan0 uid=10120 set=ALL tag=0x0 rxBytes=16457 rxPackets=0 txBytes=7488 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=nt.mm:appbrand0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [18] iface=wlan0 uid=10058 set=ALL tag=0x0 rxBytes=6173 rxPackets=0 txBytes=5305 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=com.huawei.hwid
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [19] iface=wlan0 uid=10248 set=ALL tag=0x0 rxBytes=281 rxPackets=0 txBytes=861 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=store:PluginP06
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [20] iface=wlan0 uid=10107 set=ALL tag=0x0 rxBytes=149460 rxPackets=0 txBytes=4689 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=ger:pushservice
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [21] iface=wlan0 uid=10107 set=ALL tag=0x0 rxBytes=2369128 rxPackets=0 txBytes=113340 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=sdu.didi.psnger
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [22] iface=wlan0 uid=10128 set=ALL tag=0x0 rxBytes=762 rxPackets=0 txBytes=1713 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=re.clone:remote
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [23] iface=wlan0 uid=10128 set=ALL tag=0x0 rxBytes=3747629 rxPackets=0 txBytes=42208 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=.anywhere.clone
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [24] iface=wlan0 uid=10248 set=ALL tag=0x0 rxBytes=3820090 rxPackets=0 txBytes=5235 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=pstore:download
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [25] iface=wlan0 uid=10248 set=ALL tag=0x0 rxBytes=386 rxPackets=0 txBytes=673 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=fe.clean:update
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [26] iface=wlan0 uid=10248 set=ALL tag=0x0 rxBytes=3178 rxPackets=0 txBytes=4431 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=hoo360.accounts
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [27] iface=wlan0 uid=10433 set=ALL tag=0x0 rxBytes=675 rxPackets=0 txBytes=1813 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=plugin.sdk.demo
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [28] iface=wlan0 uid=10008 set=ALL tag=0x0 rxBytes=288722 rxPackets=0 txBytes=42407 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=android.browser
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [29] iface=wlan0 uid=10001 set=ALL tag=0x0 rxBytes=60257 rxPackets=0 txBytes=46835 txPackets=0 operations=0
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:  proc=map.android.ams
12-20 17:06:37.296  1045  1390 D NetworkStatsFactory:   [30] iface=wlan0 uid=10056 set=ALL tag=0x0 rxBytes=14715 rxPackets=0 txBytes=16327 txPackets=0 op
12-20 17:06:37.297  1045  1390 D NetworkStats: mActiveIface: wlan0
12-20 17:06:37.305  4451  4494 I LocalServer: [2017-12-20 17:06:37.305511 4451 4494] REQ(14.215.177.39:80):
12-20 17:06:37.305  4451  4494 I LocalServer: GET /search/error.html HTTP/1.1

12-20 17:06:37.305  4451  4494 I LocalServer: User-Agent: Kevin's Http Client/1.1.0

12-20 17:06:37.305  4451  4494 I LocalServer: Host: www.baidu.com

12-20 17:06:37.305  4451  4494 I LocalServer: Accept: */*

12-20 17:06:37.305  4451  4494 I LocalServer: 

12-20 17:06:37.305  4451  4494 I LocalServer: 
12-20 17:06:37.314  1045  1390 D NetworkStats: already record: [juphoon.justalk:com.juphoon.justalk]
12-20 17:06:37.315  4451  4556 V GL2VideoView.java: [onDrawFrame:263] onDrawFrame=-702808064
12-20 17:06:37.331  1045  1390 D NetworkStats: already record: [encent.qqsports:com.tencent.qqsports]
12-20 17:06:37.331  1045  1390 D NetworkStats: already record: [calserverplayer:com.qihoo.livecloud.localserverplayer]
12-20 17:06:37.333  1045  1390 D NetworkStats: already record: [com.huawei.hwid:com.huawei.hwid]
12-20 17:06:37.336  1045  1055 I art     : Object allocation is busy now, so prior to grow the heap. New heap size is 84 MB
12-20 17:06:37.337  4451  4556 V GL2VideoView.java: [onDrawFrame:263] onDrawFrame=-702808064
12-20 17:06:37.338  1045  1390 D NetworkStats: already record: [sdu.didi.psnger:com.sdu.didi.psnger]
12-20 17:06:37.340  1045  1390 D NetworkStats: already record: [.anywhere.clone:com.txy.anywhere.clone]
12-20 17:06:37.346  1045  1390 D NetworkStats: already record: [plugin.sdk.demo:com.qihoo360.replugin.sdk.demo]
12-20 17:06:37.346  1045  1390 D NetworkStats: already record: [android.browser:com.android.browser]
12-20 17:06:37.346  1045  1390 D NetworkStats: already record: [map.android.ams:com.amap.android.ams]
12-20 17:06:37.346  1045  1390 D NetworkStats: already record: [droid.pushagent:com.huawei.android.pushagent]
12-20 17:06:37.350  1045  1390 D NetworkStats: already record: [com.sina.weibo:com.sina.weibo]
12-20 17:06:37.351  4451  4494 I LocalServer: [2017-12-20 17:06:37.351347 4451 4494] RESP(14.215.177.39:80): http://www.baidu.com/search/error.html
12-20 17:06:37.351  4451  4494 I LocalServer: HTTP/1.1 200 OK

12-20 17:06:37.351  4451  4494 I LocalServer: Date: Wed, 20 Dec 2017 09:06:38 GMT

12-20 17:06:37.351  4451  4494 I LocalServer: Server: Apache

12-20 17:06:37.351  4451  4494 I LocalServer: P3P: CP=" OTI DSP COR IVA OUR IND COM "

12-20 17:06:37.351  4451  4494 I LocalServer: Set-Cookie: BAIDUID=EF969C4523452909121494C3EDF7B7A1:FG=1; expires=Thu, 20-Dec-18 09:06:38 GMT; max-age=31536000; path=/; domain=.baidu.com; version=1

12-20 17:06:37.351  4451  4494 I LocalServer: Last-Modified: Fri, 08 Sep 2017 08:30:40 GMT

12-20 17:06:37.351  4451  4494 I LocalServer: ETag: "3d16-558a9645bac00"

12-20 17:06:37.351  4451  4494 I LocalServer: Accept-Ranges: bytes

12-20 17:06:37.351  4451  4494 I LocalServer: Content-Length: 15638

12-20 17:06:37.351  4451  4494 I LocalServer: Cache-Control: max-age=86400

12-20 17:06:37.351  4451  4494 I LocalServer: Expires: Thu, 21 Dec 2017 09:06:38 GMT

12-20 17:06:37.351  4451  4494 I LocalServer: Vary: Accept-Encoding,User-Agent

12-20 17:06:37.351  4451  4494 I LocalServer: Connection: Keep-Alive

12-20 17:06:37.351  4451  4494 I LocalServer: Content-Type: text/html

12-20 17:06:37.351  4451  4494 I LocalServer: 
12-20 17:06:37.351  4451  4494 I LocalServer: [2017-12-20 17:06:37.351466 4451 4494] on_response, content_type=text/html, size=15638
12-20 17:06:37.351  4451  4494 I LocalServer: [2017-12-20 17:06:37.351498 4451 4494] no video content-type: text/html
12-20 17:06:37.351  4451  4494 I LocalServer: [2017-12-20 17:06:37.351537 4451 4494] RESP 
12-20 17:06:37.351  4451  4494 I LocalServer: HTTP/1.1 206 Partial Content

12-20 17:06:37.351  4451  4494 I LocalServer: Server: kevin's server

12-20 17:06:37.351  4451  4494 I LocalServer: Content-Range: bytes 0-15637/15638

12-20 17:06:37.351  4451  4494 I LocalServer: Content-Length: 15638

12-20 17:06:37.351  4451  4494 I LocalServer: Content-Type: text/html

12-20 17:06:37.351  4451  4494 I LocalServer: Accept-Ranges: bytes

12-20 17:06:37.351  4451  4494 I LocalServer: Cache-Control: no-cache

12-20 17:06:37.351  4451  4494 I LocalServer: Connection: close

12-20 17:06:37.351  4451  4494 I LocalServer: 

12-20 17:06:37.351  4451  4494 I LocalServer: 
12-20 17:06:37.351  4451  4494 I LocalServer: [2017-12-20 17:06:37.351755 4451 4494] on_server_data: offset=0, len=1360
12-20 17:06:37.351  4451  4494 I LocalServer: [2017-12-20 17:06:37.351807 4451 4494] box type=CTYP
12-20 17:06:37.353  4451  4494 I LocalServer: [2017-12-20 17:06:37.353565 4451 4494] on_server_data: offset=1360, len=1360
12-20 17:06:37.354  4451  4494 I LocalServer: [2017-12-20 17:06:37.354436 4451 4494] on_server_data: offset=2720, len=5440
12-20 17:06:37.356  4451  4494 I LocalServer: [2017-12-20 17:06:37.356104 4451 4494] on_server_data: offset=8160, len=7478
12-20 17:06:37.356  4451  4494 I LocalServer: [2017-12-20 17:06:37.356224 4451 4494] serve done, _serving_end=15638, _serving_pos=15638, filesize=15638
12-20 17:06:37.356  4451  4494 I LocalServer: [2017-12-20 17:06:37.356461 4451 4494] http consumer detach, u=http://www.baidu.com/aaaaa, start=0, end=15638, pos=15638
12-20 17:06:37.356  4451  4494 I LocalServer: [2017-12-20 17:06:37.356618 4451 4494] on_response, content_type=(null), size=15638
12-20 17:06:37.356  4451  4494 I LocalServer: [2017-12-20 17:06:37.356649 4451 4494] http download detach, code=200, u=http://www.baidu.com/aaaaa, start=0, end=0
12-20 17:06:37.356  4451  4494 I LocalServer: [2017-12-20 17:06:37.356682 4451 4494] CDN STATS: server=14.215.177.39:80(0), SCDN=non, from_type=0, cic=2, rsp_time=2147483647, code=200, atv_close=0, time(dns/con/resp/wait/total)=0/44/45/2/183(ms), speed(fst100K,avg)=0/85(KB/s), hops=1, ver=1.0.3.8, rcvb=15638, range=0-0, can_https=0, vr=0, ssl_load=1, fs=0
12-20 17:06:37.359  4451  4556 V GL2VideoView.java: [onDrawFrame:263] onDrawFrame=-702808064
12-20 17:06:37.363  1045  1390 D NetworkStats: already record: [uawei.appmarket:com.huawei.appmarket]
12-20 17:06:37.363  1045  1390 D NetworkStats: already record: [wei.intelligent:com.huawei.intelligent]
12-20 17:06:37.367  1045  1390 D NetworkStats: already record: [.lightsky.video:com.lightsky.video]
12-20 17:06:37.367  1045  1390 D NetworkStats: already record: [o360.mobilesafe:com.qihoo360.mobilesafe]
12-20 17:06:37.367  1045  1390 D NetworkStats: already record: [doujia.phoenix2:com.wandoujia.phoenix2]
12-20 17:06:37.371  1045  1390 D NetworkStats: already record: [i.systemmanager:com.huawei.systemmanager]
12-20 17:06:37.371  1045  1390 D NetworkStats: already record: [baidu.searchbox:com.baidu.searchbox]
12-20 17:06:37.371  1045  1390 D NetworkStats: already record: [com.tencent.mm:com.tencent.mm]
